,DATE,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,DAILY_YIELD,SOURCE_KEY
0,2020-05-16,28.564478195329666,38.61684165677657,0.35868634965505153,6292.0,1BY6WEcLGh8j5v7
1,2020-05-17,29.494486331593407,42.02868699734433,0.4409880415197766,7045.0,1BY6WEcLGh8j5v7
2,2020-05-18,25.14405622564103,33.57360166694139,0.2935862516426643,4998.0,1BY6WEcLGh8j5v7
3,2020-05-19,27.403738549416914,37.733532126554906,0.3682624794537422,6449.0,1BY6WEcLGh8j5v7
4,2020-05-21,29.383560797255026,45.3354274795061,0.5353675078003755,7243.0,1BY6WEcLGh8j5v7
5,2020-05-22,28.48899484016173,40.469185906468994,0.41734193406100667,6848.0,1BY6WEcLGh8j5v7
6,2020-05-23,29.362050044752184,45.2787840813897,0.5327888079030094,7966.0,1BY6WEcLGh8j5v7
7,2020-05-24,29.77591632246181,42.970462607457314,0.4705128346086936,7537.0,1BY6WEcLGh8j5v7
8,2020-05-25,29.75759639342041,44.27708854611927,0.5138370865080109,8268.0,1BY6WEcLGh8j5v7
9,2020-05-26,29.43870079514824,43.09189151608267,0.4575582788759599,0.0,1BY6WEcLGh8j5v7
10,2020-05-27,29.34052075396825,40.68582583292181,0.38032530094032735,6164.0,1BY6WEcLGh8j5v7
11,2020-05-29,28.05908833514286,44.41899472519048,0.4959132248282057,7564.0,1BY6WEcLGh8j5v7
12,2020-05-30,26.766419354304034,38.80223721904761,0.42067411862465415,6754.0,1BY6WEcLGh8j5v7
13,2020-05-31,26.96867871804029,37.23067778296702,0.33895111748448986,5803.0,1BY6WEcLGh8j5v7
14,2020-06-01,26.53805245722739,36.08461742218231,0.3394085453393864,5508.0,1BY6WEcLGh8j5v7
15,2020-06-02,25.868719653728657,36.706711160736745,0.4053518750245385,7029.0,1BY6WEcLGh8j5v7
16,2020-06-03,26.260068479853487,37.29405107216118,0.4216867084861565,7341.0,1BY6WEcLGh8j5v7
17,2020-06-04,27.166873286813182,40.150425865201456,0.4744418160667904,7571.0,1BY6WEcLGh8j5v7
18,2020-06-05,26.602369914914647,39.037956016891286,0.43759734320472143,7162.0,1BY6WEcLGh8j5v7
19,2020-06-06,26.105285082600737,36.31472878983517,0.3755168842980329,5940.0,1BY6WEcLGh8j5v7
20,2020-06-07,26.750387714106026,39.85482460098832,0.4604221293001194,5268.0,1BY6WEcLGh8j5v7
21,2020-06-08,27.37878858492639,40.18034011169398,0.4776514474694416,7864.0,1BY6WEcLGh8j5v7
22,2020-06-09,27.871142988679253,40.50019721617252,0.4670693079321634,7456.0,1BY6WEcLGh8j5v7
23,2020-06-10,26.572746956959712,36.164621774450566,0.36985176897641736,5911.0,1BY6WEcLGh8j5v7
24,2020-06-11,25.822457678754574,33.455246091666666,0.2987251085254719,5257.0,1BY6WEcLGh8j5v7
25,2020-06-12,25.42447148077268,33.1533057211141,0.3075764350852201,5441.0,1BY6WEcLGh8j5v7
26,2020-06-13,26.36242213378257,38.731893957681926,0.4790444257828957,7984.0,1BY6WEcLGh8j5v7
27,2020-06-14,25.502800107277636,35.75254810296494,0.3986456853204744,4012.0,1BY6WEcLGh8j5v7
28,2020-06-15,26.471948133862433,36.39943160361551,0.3660889946185535,6275.0,1BY6WEcLGh8j5v7
29,2020-06-16,26.451856226415075,36.058201727762814,0.3392287826957191,5848.0,1BY6WEcLGh8j5v7
30,2020-06-17,25.5512210287834,34.16393440621942,0.3267021648506515,5521.0,1BY6WEcLGh8j5v7
0,2020-05-16,28.564478195329666,38.61684165677657,0.35868634965505153,5768.0,1IF53ai7Xc0U56Y
1,2020-05-17,29.494486331593407,42.02868699734433,0.4409880415197766,7759.0,1IF53ai7Xc0U56Y
2,2020-05-18,25.14405622564103,33.57360166694139,0.2935862516426643,5453.0,1IF53ai7Xc0U56Y
3,2020-05-19,27.403738549416914,37.733532126554906,0.3682624794537422,0.0,1IF53ai7Xc0U56Y
4,2020-05-21,29.383560797255026,45.3354274795061,0.5353675078003755,0.0,1IF53ai7Xc0U56Y
5,2020-05-22,28.48899484016173,40.469185906468994,0.41734193406100667,7287.0,1IF53ai7Xc0U56Y
6,2020-05-23,29.362050044752184,45.2787840813897,0.5327888079030094,8673.0,1IF53ai7Xc0U56Y
7,2020-05-24,29.77591632246181,42.970462607457314,0.4705128346086936,8273.0,1IF53ai7Xc0U56Y
8,2020-05-25,29.75759639342041,44.27708854611927,0.5138370865080109,9048.0,1IF53ai7Xc0U56Y
9,2020-05-26,29.43870079514824,43.09189151608267,0.4575582788759599,0.0,1IF53ai7Xc0U56Y
10,2020-05-27,29.34052075396825,40.68582583292181,0.38032530094032735,5971.0,1IF53ai7Xc0U56Y
11,2020-05-29,28.05908833514286,44.41899472519048,0.4959132248282057,7221.375,1IF53ai7Xc0U56Y
12,2020-05-30,26.766419354304034,38.80223721904761,0.42067411862465415,7332.0,1IF53ai7Xc0U56Y
13,2020-05-31,26.96867871804029,37.23067778296702,0.33895111748448986,5889.0,1IF53ai7Xc0U56Y
14,2020-06-01,26.53805245722739,36.08461742218231,0.3394085453393864,6012.0,1IF53ai7Xc0U56Y
15,2020-06-02,25.868719653728657,36.706711160736745,0.4053518750245385,0.0,1IF53ai7Xc0U56Y
16,2020-06-03,26.260068479853487,37.29405107216118,0.4216867084861565,6750.0,1IF53ai7Xc0U56Y
17,2020-06-04,27.166873286813182,40.150425865201456,0.4744418160667904,8196.0,1IF53ai7Xc0U56Y
