Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Weekday,Square Feet,Type,Power Consumption
10,1,597.9166666666666,898,86,3.6750000000000003,3.8249999999999997,220.08333333333334,67.045,28.658333333333335,988.3333333333334,0,66000,2,6102
10,2,332.25,772,20,3.908333333333333,4.441666666666666,270.5,72.50833333333334,26.675,986.25,0,66000,2,6052
10,3,408.0,923,47,5.0888888888888895,1.9666666666666666,312.3333333333333,62.97,20.98888888888889,991.5555555555555,0,66000,2,5953
10,4,617.25,931,48,3.4999999999999996,1.3333333333333333,34.666666666666664,60.214166666666664,16.258333333333336,999.4166666666666,0,66000,2,5990
10,5,309.4,810,4,2.9799999999999995,2.73,148.0,58.44100000000001,18.189999999999998,990.5,1,66000,2,6040
10,6,429.6666666666667,824,4,2.0083333333333337,1.8166666666666664,248.75,55.801666666666655,17.608333333333334,993.8333333333334,1,66000,2,6162
10,7,753.8333333333334,959,29,2.1333333333333333,1.0333333333333332,332.3333333333333,48.875,18.183333333333334,995.9166666666666,0,66000,2,6221
10,8,739.6666666666666,949,25,1.3166666666666664,1.0749999999999997,114.91666666666667,45.2525,19.058333333333334,995.0833333333334,0,66000,2,6315
10,9,692.1666666666666,954,11,2.4499999999999997,1.1583333333333334,131.25,50.6575,19.033333333333335,992.4166666666666,0,66000,2,6274
10,10,16.88888888888889,54,1,4.2444444444444445,3.088888888888889,151.55555555555554,69.61888888888889,20.71111111111111,989.1111111111111,0,66000,2,6249
10,11,44.75,171,2,5.325,2.375,290.25,70.0725,9.5,989.0,0,66000,2,6164
10,12,834.6363636363636,983,468,5.372727272727272,0.6,226.54545454545453,40.96454545454546,10.299999999999999,990.9090909090909,1,66000,2,6270
10,13,807.0,963,403,4.654545454545454,0.8090909090909091,246.0,47.58272727272728,13.672727272727276,985.9090909090909,1,66000,2,6264
10,14,803.1818181818181,959,399,2.1545454545454543,0.9636363636363636,287.1818181818182,48.52272727272727,12.727272727272727,991.7272727272727,0,66000,2,6259
10,15,165.0,602,9,4.8625,2.3000000000000003,196.375,67.0025,15.2375,984.125,0,66000,2,6232
10,16,39.0,120,3,5.777777777777778,1.0555555555555556,317.22222222222223,52.413333333333334,11.955555555555556,988.3333333333334,0,66000,2,6243
10,17,770.5454545454545,947,247,2.4181818181818184,1.2454545454545451,317.0,58.12181818181818,11.490909090909092,990.1818181818181,0,66000,2,6136
10,18,470.0,710,153,3.0727272727272723,0.9909090909090907,148.36363636363637,55.55,13.054545454545455,989.7272727272727,0,66000,2,6175
10,19,530.9090909090909,880,61,3.772727272727273,1.4636363636363634,180.9090909090909,52.03181818181818,15.20909090909091,983.0,1,66000,2,6323
10,20,485.25,915,53,1.2125000000000001,1.375,165.625,67.53,16.85,985.25,1,66000,2,6327
10,21,508.8,769,21,6.0600000000000005,1.02,233.2,44.989999999999995,18.26,974.2,0,66000,2,6406
10,22,233.63636363636363,842,3,6.954545454545454,1.209090909090909,255.63636363636363,54.051818181818184,12.445454545454545,982.0,0,66000,2,6504
10,23,507.3,869,76,6.05,1.46,208.5,44.946,15.780000000000001,988.3,0,66000,2,6431
10,24,42.57142857142857,108,9,2.314285714285714,1.5714285714285716,226.57142857142858,60.93714285714285,10.185714285714285,999.0,0,66000,2,6148
10,25,73.66666666666667,183,1,1.7333333333333334,1.8222222222222224,54.77777777777778,62.84333333333333,10.733333333333333,998.8888888888889,0,66000,2,6076
10,26,2.0,2,2,3.8,3.1,58.0,87.97,6.6,988.0,1,66000,2,5926
10,27,709.8181818181819,926,180,3.0454545454545454,1.1090909090909093,245.72727272727272,67.43181818181819,12.700000000000001,987.7272727272727,1,66000,2,5069
10,28,12.0,12,12,0.9,1.5,226.0,100.0,6.5,991.0,0,66000,2,5648
10,29,40.2,184,1,3.3199999999999994,1.2399999999999998,332.8,72.97,7.1800000000000015,995.6,0,66000,2,6164
10,30,2.0,2,2,4.4,2.7,35.0,93.05,2.0,995.0,0,66000,2,6325
10,31,9.571428571428571,28,1,7.428571428571429,0.9714285714285715,295.0,82.73857142857143,0.15714285714285717,985.4285714285714,0,66000,2,6243
