Year,Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temp Max,Temp Min,Temperature,Pressure,Power Consumption,Weekday,University Name,Building Name,Square Feet,Type
2019,6,12,635.1333333333333,924,35,1.9166666666666667,1.856666666666666,253.53333333333333,56.72233333333333,28.4,16.4,23.066666666666663,992.9666666666667,862.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,13,303.55172413793105,775,2,3.451724137931035,1.6379310344827585,257.7586206896552,69.89172413793102,20.8,13.0,17.962068965517243,992.0,823.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,14,388.56666666666666,908,13,2.993333333333333,1.5366666666666668,260.93333333333334,76.88900000000002,20.9,12.4,17.126666666666665,993.3333333333334,827.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,15,230.2,652,4,3.5,1.4433333333333331,257.46666666666664,75.811,17.7,11.3,14.83,994.5333333333333,866.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,16,280.0,895,9,2.813333333333333,1.5466666666666669,249.16666666666666,71.54399999999997,19.2,10.9,15.97,991.8,863.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,17,678.8666666666667,928,37,2.23,2.0900000000000003,221.83333333333334,67.98100000000001,23.1,11.7,18.799999999999997,990.9,854.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,18,604.5,934,62,2.6566666666666676,1.833333333333333,254.4,73.52666666666666,23.4,13.7,19.733333333333334,993.6333333333333,835.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,19,327.2857142857143,941,5,2.560714285714286,1.5178571428571426,247.71428571428572,67.37035714285716,22.6,12.8,18.857142857142854,993.5,844.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,20,626.0,936,39,2.3833333333333337,1.6700000000000006,256.1333333333333,68.82400000000001,23.1,12.3,18.706666666666663,992.0,825.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,21,717.8333333333334,955,58,2.5900000000000007,1.06,278.6333333333333,58.666333333333334,23.3,12.2,19.4,992.9333333333333,831.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,22,756.0333333333333,962,63,2.2833333333333337,1.2466666666666661,295.7,51.04966666666667,27.2,13.0,22.09333333333333,994.4333333333333,870.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,23,753.7,946,68,1.7933333333333337,1.3366666666666662,252.7,54.27366666666668,27.4,13.4,22.51666666666667,994.2,866.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,24,364.9,510,18,2.8399999999999994,1.0700000000000005,260.2,62.521,22.4,12.4,18.74333333333333,991.3333333333334,865.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,25,712.3666666666667,945,70,4.083333333333332,1.3633333333333328,278.93333333333334,65.33933333333331,22.3,12.7,18.773333333333337,991.0,869.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,26,745.1333333333333,947,67,4.38,1.5800000000000005,267.8333333333333,69.31899999999999,19.0,12.6,16.656666666666663,996.1,861.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,27,478.76666666666665,878,14,3.573333333333333,1.4666666666666666,278.8333333333333,67.91866666666667,20.3,11.6,16.966666666666665,998.9,825.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,28,692.4666666666667,943,19,2.65,1.063333333333333,267.1333333333333,68.4,20.2,12.5,17.529999999999998,997.4,824.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,29,622.2666666666667,923,69,3.1966666666666663,0.8000000000000004,275.1666666666667,63.32833333333335,21.2,11.1,17.676666666666666,997.5666666666667,866.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,6,30,730.2333333333333,940,62,3.2933333333333334,1.1333333333333333,265.73333333333335,67.64100000000002,21.2,11.4,17.566666666666666,997.2333333333333,838.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,1,699.4,952,76,3.880000000000001,1.283333333333333,272.6666666666667,68.98700000000001,21.0,11.5,17.62333333333333,996.6,860.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
