,Year,Month,Day,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
0,2017,1,1,82.625,838,310,663.5,286.25,73.75,729.0,304.625,0.23750000000000002,0.551875,283.9125,89.03124999999999,0.5,1000.0
1,2017,1,2,109.625,649,150,330.625,210.25,68.25,716.875,297.125,0.11249999999999999,1.161,101.94999999999999,83.9825,0.5,1010.0
2,2017,1,4,125.5,384,31,194.75,175.25,74.75,627.0,285.0,0.22500000000000003,1.46225,248.15,100.0,2.5,980.0
3,2017,1,5,74.5,769,493,652.75,279.625,74.625,736.625,313.375,0.31250000000000006,0.483875,264.03749999999997,58.5325,-2.5,990.0
4,2017,1,6,77.25,845,521,664.125,287.5,73.25,747.75,317.5,0.25,0.42987499999999995,309.15,61.963750000000005,-2.875,1000.0
5,2017,1,7,104.0,2,2,2.0,105.0,74.0,723.0,286.0,0.2,0.6859999999999999,14.0,69.4,-7.0,1010.0
6,2017,1,8,100.0,770,299,539.375,273.625,96.75,676.0,320.25,0.275,0.256125,296.63749999999993,65.64,-8.0,1000.0
7,2017,1,9,90.375,691,283,511.625,261.375,82.625,733.875,325.375,0.21249999999999997,0.30537499999999995,246.6125,63.1275,-8.875,1020.0
8,2017,1,10,120.125,474,107,312.0,225.875,91.375,651.875,311.625,0.32499999999999996,0.8947499999999999,171.2875,77.67375000000001,-3.375,1011.25
9,2017,1,11,76.22222222222223,914,51,456.22222222222223,233.33333333333334,51.0,711.3333333333334,286.3333333333333,0.31111111111111117,0.5226666666666666,223.65555555555554,92.9488888888889,5.111111111111111,1000.0
10,2017,1,12,129.25,95,13,63.25,149.25,75.5,623.5,287.5,0.4,2.6870000000000003,211.60000000000002,100.0,9.25,997.5
11,2017,1,13,59.625,906,598,789.75,328.0,59.625,789.75,328.0,0.6499999999999999,0.47275,305.00000000000006,61.71874999999999,1.0,1010.0
12,2017,1,14,108.375,618,251,430.375,249.375,59.625,788.75,328.5,0.225,0.527125,245.62499999999997,38.839999999999996,-1.375,1012.5
13,2017,1,15,49.0,913,192,691.4,273.4,49.0,691.4,273.4,0.32999999999999996,0.40709999999999996,314.37,60.470000000000006,-0.8,1006.0
