,UMASS Amherst - Computer Science null,UMASS Amherst - Fine Arts Center null,UMASS Amherst - Recreation Center null,Day,Month,Year,Date,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
27,41.74489311163895,36.85471698113207,41.57757575757576,1.0,4.0,2019.0,2019-04-01,106.7,826,63,443.9,247.2,71.7,667.0,316.6,0.43,0.4485,305.5100000000001,69.9,-2.3,990.0
28,46.32826603325416,37.97877358490566,46.01,1.0,5.0,2019.0,2019-05-01,136.88888888888889,690,51,328.0,249.66666666666663,126.66666666666669,590.1111111111112,351.0,0.2666666666666667,0.5934444444444444,185.9,69.87444444444445,-4.777777777777779,990.0
29,54.56199524940617,44.527594339622645,54.90863636363636,1.0,6.0,2019.0,2019-06-01,163.28571428571428,576,16,170.71428571428572,245.7142857142857,100.57142857142857,786.0,432.4285714285714,0.5571428571428572,0.6354285714285713,256.37142857142857,86.64,0.7142857142857143,990.0
30,59.7187648456057,51.09834905660377,61.41969696969697,1.0,7.0,2019.0,2019-07-01,142.125,690,69,292.875,235.5,90.5,676.125,338.25,0.4625,0.51525,275.0125,76.65875,-0.75,997.5
31,54.78289786223277,50.79174528301887,56.96333333333334,1.0,8.0,2019.0,2019-08-01,76.1,808,194,606.2,305.8,86.3,697.2,350.8,0.4800000000000001,0.3834000000000001,277.57,67.023,-3.5,1000.0
32,44.85558194774347,46.25283018867925,46.95212121212121,1.0,9.0,2019.0,2019-09-01,88.1,874,286,676.2,345.4,88.2,694.8,355.1,0.6,0.3639,284.94000000000005,67.67999999999999,-3.9,1000.0
33,25.15273159144893,28.11674528301887,26.680757575757575,1.0,10.0,2019.0,2019-10-01,122.88888888888887,693,31,356.22222222222223,278.3333333333333,117.66666666666669,615.8888888888888,370.5555555555555,0.5666666666666667,0.8859999999999999,209.82222222222225,76.91666666666666,-1.0,992.2222222222223
34,21.96935866983373,31.311556603773585,23.62333333333333,1.0,11.0,2019.0,2019-11-01,77.66666666666667,927,4,649.2222222222222,336.4444444444445,72.22222222222223,752.1111111111112,373.0,0.6111111111111112,0.7318888888888888,294.1,61.147777777777776,-1.7777777777777777,1000.0
35,6.9767220902612825,21.70566037735849,7.425757575757576,1.0,12.0,2019.0,2019-12-01,109.8,850,33,466.4,295.7,96.6,657.0,360.4,0.5,1.0266,284.44,98.111,2.8,985.0
36,,,,,,,,97.7,969,213,648.1,347.4,75.3,799.6,395.8,0.8,0.31310000000000004,303.32,79.36399999999999,-9.4,1000.0
37,,,,,,,,231.33333333333331,71,44,60.0,263.6666666666667,174.33333333333337,717.0,559.3333333333334,0.10000000000000002,1.2543333333333335,93.7,93.98000000000002,-2.0,990.0
38,,,,,,,,175.0,3,3,3.0,177.0,174.0,724.0,575.0,0.5,1.742,84.9,87.46,-3.0,990.0
