,index,Day,Month,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,Year,0
0,14,15,5,29.82031554241623,39.92470023324515,0.3525372195544939,2020,2020-05-15
1,16,16,5,28.564478195329666,38.616841656776565,0.35868634965505153,2020,2020-05-16
2,18,17,5,29.494486331593407,42.02868699734433,0.4409880415197766,2020,2020-05-17
3,20,18,5,25.14405622564103,33.57360166694139,0.2935862516426643,2020,2020-05-18
4,21,19,5,27.403738549416914,37.73353212655491,0.3682624794537422,2020,2020-05-19
5,22,20,5,27.053267742962436,39.33887615459225,0.49312276284972206,2020,2020-05-20
6,23,21,5,29.383560797255026,45.3354274795061,0.5353675078003755,2020,2020-05-21
7,24,22,5,28.488994840161723,40.469185906468994,0.41734193406100667,2020,2020-05-22
8,25,23,5,29.362050044752184,45.2787840813897,0.5327888079030094,2020,2020-05-23
9,26,24,5,29.77591632246181,42.970462607457314,0.47051283460869364,2020,2020-05-24
10,27,25,5,29.757596393420414,44.27708854611927,0.5138370865080109,2020,2020-05-25
11,28,26,5,29.43870079514824,43.09189151608267,0.4575582788759599,2020,2020-05-26
12,29,27,5,29.34052075396825,40.68582583292181,0.38032530094032735,2020,2020-05-27
13,30,28,5,29.597006483530308,43.06847690361117,0.4911770574860625,2020,2020-05-28
14,31,29,5,28.05908833514286,44.41899472519048,0.49591322482820566,2020,2020-05-29
15,32,30,5,26.76641935430403,38.80223721904761,0.42067411862465415,2020,2020-05-30
16,33,31,5,26.968678718040294,37.23067778296702,0.33895111748448986,2020,2020-05-31
17,0,1,6,26.538052457227387,36.084617422182305,0.33940854533938636,2020,2020-06-01
18,1,2,6,25.868719653728657,36.706711160736745,0.40535187502453845,2020,2020-06-02
19,2,3,6,26.260068479853487,37.29405107216118,0.42168670848615647,2020,2020-06-03
20,3,4,6,27.166873286813182,40.150425865201456,0.47444181606679037,2020,2020-06-04
21,4,5,6,26.602369914914647,39.03795601689129,0.43759734320472143,2020,2020-06-05
22,5,6,6,26.10528508260074,36.31472878983517,0.3755168842980329,2020,2020-06-06
23,6,7,6,26.750387714106022,39.85482460098832,0.4604221293001194,2020,2020-06-07
24,7,8,6,27.37878858492639,40.18034011169398,0.47765144746944155,2020,2020-06-08
25,8,9,6,27.871142988679246,40.500197216172516,0.46706930793216345,2020,2020-06-09
26,9,10,6,26.572746956959712,36.16462177445056,0.36985176897641736,2020,2020-06-10
27,10,11,6,25.822457678754578,33.455246091666666,0.2987251085254719,2020,2020-06-11
28,11,12,6,25.42447148077268,33.1533057211141,0.3075764350852201,2020,2020-06-12
29,12,13,6,26.362422133782566,38.73189395768193,0.47904442578289574,2020,2020-06-13
30,13,14,6,25.502800107277633,35.75254810296494,0.3986456853204744,2020,2020-06-14
31,15,15,6,26.471948133862433,36.39943160361551,0.3660889946185535,2020,2020-06-15
32,17,16,6,26.45185622641508,36.058201727762814,0.3392287826957191,2020,2020-06-16
33,19,17,6,25.5512210287834,34.16393440621942,0.3267021648506515,2020,2020-06-17
