,index,Day,Month,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,Year,0
0,14,15,5,30.56599240392218,35.55949313382567,0.3006216333730599,2020,2020-05-15
1,16,16,5,29.47861210761494,35.143313971575665,0.24663096719156596,2020,2020-05-16
2,18,17,5,29.78010946263836,34.62673104823728,0.22118328183149752,2020,2020-05-17
3,20,18,5,27.336693981812743,31.61808900545977,0.22391437826798574,2020,2020-05-18
4,21,19,5,26.50065911631059,30.10608357941665,0.21416126955805806,2020,2020-05-19
5,22,20,5,28.233015966012122,33.3498627262971,0.2790299026568414,2020,2020-05-20
6,23,21,5,29.055460564499523,34.782797434877885,0.28324150912007656,2020,2020-05-21
7,24,22,5,29.648565752693973,36.74805399707854,0.2972483651646051,2020,2020-05-22
8,25,23,5,30.64959897159962,36.90995010181991,0.29333313091887836,2020,2020-05-23
9,26,24,5,30.805943188976684,37.11655134029109,0.28568796141160485,2020,2020-05-24
10,27,25,5,30.81842875731562,36.56704098934387,0.2766346367565042,2020,2020-05-25
11,28,26,5,30.027993210704015,35.7789177337524,0.283694520097393,2020,2020-05-26
12,29,27,5,30.400937587775363,37.034485254681506,0.28574936066509554,2020,2020-05-27
13,30,28,5,30.130057124837418,36.03372072519853,0.29309402937758855,2020,2020-05-28
14,31,29,5,30.047376036617717,34.88385707270749,0.24460219852757448,2020,2020-05-29
15,32,30,5,29.548670317541568,33.620538683754965,0.24819789005805237,2020,2020-05-30
16,33,31,5,28.451276544815602,33.0978153065613,0.20004125094792027,2020,2020-05-31
17,0,1,6,25.507044807331646,28.493761252741166,0.1413711992865422,2020,2020-06-01
18,1,2,6,27.10240531618773,32.88319149076866,0.24738144145099586,2020,2020-06-02
19,2,3,6,26.134205705930636,29.57243418682597,0.17489092600902337,2020,2020-06-03
20,3,4,6,26.304939273004766,30.83073054560583,0.2102372842208975,2020,2020-06-04
21,4,5,6,27.08235502179117,32.30056184117577,0.23298544084746572,2020,2020-06-05
22,5,6,6,27.80129808214799,32.85081808159722,0.27045563257029553,2020,2020-06-06
23,6,7,6,27.855763719492344,33.59463790079023,0.26078067504817243,2020,2020-06-07
24,7,8,6,28.493347079215752,34.31220355739046,0.2816504580599019,2020,2020-06-08
25,8,9,6,28.126931569636024,32.960383361302675,0.24831275735101244,2020,2020-06-09
26,9,10,6,27.334611434404383,30.82651117513869,0.19350336202929316,2020,2020-06-10
27,10,11,6,25.52091109061389,27.248319058748134,0.11747877188181832,2020,2020-06-11
28,11,12,6,24.683421539523476,27.116899781609217,0.13648922657979662,2020,2020-06-12
29,12,13,6,26.116937044037357,30.394871108321365,0.21552264113815808,2020,2020-06-13
30,13,14,6,27.019790044647973,31.589834115960254,0.22951698146918167,2020,2020-06-14
31,15,15,6,26.557591123491378,29.996232645977003,0.185052568956756,2020,2020-06-15
32,17,16,6,26.369897159989993,29.589895937381353,0.16506163204109942,2020,2020-06-16
33,19,17,6,24.852174461143775,26.668631332097913,0.12438296682989897,2020,2020-06-17
